id,edad,pais,tipo_visa,renovaciones_previas,fecha_inicio,fecha_final,dias_restantes,dias_desde_inicio,porcentaje_transcurrido,en_ultimos_3_meses,riesgo
1034,23,Venezuela,Estudiante,3,2026-05-25,2026-08-23,259,-169,-187.78,0,bajo_riesgo
29,53,Colombia,Estudiante,1,2023-01-01,2025-12-31,24,1071,97.81,1,alto_riesgo
240,43,Chile,Trabajo,1,2020-12-27,2025-12-26,19,1806,98.96,1,alto_riesgo
798,75,Perú,Turista,0,2021-01-31,2026-01-30,54,1771,97.04,1,medio_riesgo
817,18,Honduras,Turista,0,2025-11-01,2026-01-30,54,36,40.0,1,medio_riesgo
65,60,Ecuador,Turista,0,2023-12-22,2025-12-21,14,716,98.08,1,alto_riesgo
601,25,Colombia,Estudiante,0,2025-07-25,2026-01-21,45,135,75.0,1,medio_riesgo
924,71,República Dominicana,Trabajo,0,2023-02-11,2026-02-10,65,1030,94.06,1,medio_riesgo
754,37,Chile,Negocios,0,2024-02-08,2026-02-07,62,668,91.51,1,medio_riesgo
926,75,Cuba,Negocios,0,2025-10-11,2026-01-09,33,57,63.33,1,medio_riesgo
1101,52,Ecuador,Turista,0,2024-09-12,2026-09-12,279,451,61.78,0,bajo_riesgo
247,54,Bolivia,Estudiante,2,2020-12-28,2025-12-27,20,1805,98.9,1,alto_riesgo
277,73,Cuba,Estudiante,1,2025-09-22,2025-12-21,14,76,84.44,1,alto_riesgo
1402,73,Argentina,Residencia Permanente,2,2026-04-10,2026-10-07,304,-124,-68.89,0,bajo_riesgo
1066,24,Argentina,Estudiante,1,2026-02-20,2026-08-19,255,-75,-41.67,0,bajo_riesgo
479,41,Venezuela,Trabajo,1,2024-12-14,2025-12-14,7,358,98.08,1,alto_riesgo
426,32,Venezuela,Residencia Temporal,0,2025-09-28,2025-12-27,20,70,77.78,1,alto_riesgo
123,42,Ecuador,Residencia Permanente,1,2024-01-05,2026-01-04,28,702,96.16,1,alto_riesgo
1169,24,Colombia,Estudiante,1,2021-07-18,2026-07-17,222,1603,87.84,0,bajo_riesgo
394,74,Bolivia,Residencia Temporal,0,2023-12-19,2025-12-18,11,719,98.49,1,alto_riesgo
985,50,Colombia,Negocios,0,2023-02-07,2026-02-06,61,1034,94.43,1,medio_riesgo
715,29,Bolivia,Estudiante,4,2023-02-01,2026-01-31,55,1040,94.98,1,medio_riesgo
1134,50,Venezuela,Estudiante,2,2025-04-09,2026-04-09,123,242,66.3,0,bajo_riesgo
1084,46,Brasil,Estudiante,0,2025-03-24,2026-03-24,107,258,70.68,0,bajo_riesgo
497,63,Perú,Turista,1,2025-10-06,2026-01-04,28,62,68.89,1,alto_riesgo
44,30,República Dominicana,Estudiante,0,2025-07-05,2026-01-01,25,155,86.11,1,alto_riesgo
59,58,República Dominicana,Estudiante,0,2025-09-11,2025-12-10,3,87,96.67,1,alto_riesgo
1161,69,Chile,Estudiante,3,2021-09-30,2026-09-29,296,1529,83.78,0,bajo_riesgo
23,53,Perú,Estudiante,0,2025-09-19,2025-12-18,11,79,87.78,1,alto_riesgo
874,38,México,Turista,0,2024-02-15,2026-02-14,69,661,90.55,1,medio_riesgo
481,27,Venezuela,Estudiante,0,2025-10-06,2026-01-04,28,62,68.89,1,alto_riesgo
1324,45,Ecuador,Estudiante,3,2023-06-21,2026-06-20,195,900,82.19,0,bajo_riesgo
745,61,Venezuela,Estudiante,2,2025-10-10,2026-01-08,32,58,64.44,1,medio_riesgo
231,66,Brasil,Trabajo,1,2025-09-18,2025-12-17,10,80,88.89,1,alto_riesgo
124,32,Nicaragua,Residencia Temporal,0,2024-12-22,2025-12-22,15,350,95.89,1,alto_riesgo
427,18,Venezuela,Turista,0,2025-06-17,2025-12-14,7,173,96.11,1,alto_riesgo
818,64,Ecuador,Turista,2,2025-09-05,2026-03-04,87,93,51.67,1,medio_riesgo
168,58,Cuba,Trabajo,0,2025-09-23,2025-12-22,15,75,83.33,1,alto_riesgo
115,75,México,Estudiante,1,2025-07-02,2025-12-29,22,158,87.78,1,alto_riesgo
1088,56,Perú,Trabajo,4,2021-11-10,2026-11-09,337,1488,81.53,0,bajo_riesgo
986,28,Perú,Estudiante,1,2025-10-24,2026-01-22,46,44,48.89,1,medio_riesgo
1395,31,Brasil,Residencia Permanente,0,2024-11-03,2026-11-03,331,399,54.66,0,bajo_riesgo
1424,32,Argentina,Estudiante,1,2026-02-27,2026-05-28,172,-82,-91.11,0,bajo_riesgo
415,65,Venezuela,Estudiante,2,2025-09-09,2025-12-08,1,89,98.89,1,alto_riesgo
141,43,Ecuador,Turista,0,2025-06-28,2025-12-25,18,162,90.0,1,alto_riesgo
1233,20,Ecuador,Turista,0,2026-05-16,2026-08-14,250,-160,-177.78,0,bajo_riesgo
1293,44,Colombia,Trabajo,4,2023-08-15,2026-08-14,250,845,77.17,0,bajo_riesgo
762,49,Bolivia,Turista,0,2025-02-18,2026-02-18,73,292,80.0,1,medio_riesgo
1206,44,Bolivia,Turista,0,2025-11-28,2026-11-28,356,9,2.47,0,bajo_riesgo
462,24,Ecuador,Turista,1,2025-01-03,2026-01-03,27,338,92.6,1,alto_riesgo
1243,66,Bolivia,Residencia Temporal,0,2025-07-08,2026-07-08,213,152,41.64,0,bajo_riesgo
78,68,Brasil,Negocios,1,2023-12-18,2025-12-17,10,720,98.63,1,alto_riesgo
1004,75,Colombia,Estudiante,1,2026-01-11,2026-07-10,215,-35,-19.44,0,bajo_riesgo
1490,67,Ecuador,Turista,0,2021-08-21,2026-08-20,256,1569,85.97,0,bajo_riesgo
571,53,Brasil,Trabajo,1,2023-02-05,2026-02-04,59,1036,94.61,1,medio_riesgo
15,63,Chile,Turista,0,2025-07-02,2025-12-29,22,158,87.78,1,alto_riesgo
494,28,Venezuela,Negocios,1,2023-01-03,2026-01-02,26,1069,97.63,1,alto_riesgo
350,25,Argentina,Turista,0,2020-12-30,2025-12-29,22,1803,98.79,1,alto_riesgo
999,67,Colombia,Turista,1,2025-10-28,2026-01-26,50,40,44.44,1,medio_riesgo
274,20,Argentina,Negocios,0,2024-12-18,2025-12-18,11,354,96.99,1,alto_riesgo
1191,24,República Dominicana,Estudiante,1,2026-02-11,2026-08-10,246,-66,-36.67,0,bajo_riesgo
271,38,Venezuela,Trabajo,2,2025-07-08,2026-01-04,28,152,84.44,1,alto_riesgo
1473,57,Argentina,Estudiante,1,2024-06-09,2026-06-09,184,546,74.79,0,bajo_riesgo
237,54,Argentina,Residencia Permanente,0,2023-12-24,2025-12-23,16,714,97.81,1,alto_riesgo
585,57,Chile,Residencia Permanente,0,2021-02-08,2026-02-07,62,1763,96.6,1,medio_riesgo
1312,66,Ecuador,Residencia Permanente,0,2023-11-06,2026-11-05,333,762,69.59,0,bajo_riesgo
694,70,Nicaragua,Estudiante,0,2021-01-22,2026-01-21,45,1780,97.53,1,medio_riesgo
1001,36,República Dominicana,Turista,0,2021-08-10,2026-08-09,245,1580,86.58,0,bajo_riesgo
322,27,Colombia,Residencia Temporal,0,2024-12-28,2025-12-28,21,344,94.25,1,alto_riesgo
782,54,México,Estudiante,0,2025-08-23,2026-02-19,74,106,58.89,1,medio_riesgo
1358,53,Chile,Residencia Permanente,0,2025-04-17,2026-04-17,131,234,64.11,0,bajo_riesgo
1203,62,Perú,Turista,0,2024-10-20,2026-10-20,317,413,56.58,0,bajo_riesgo
970,69,Colombia,Estudiante,0,2024-01-27,2026-01-26,50,680,93.15,1,medio_riesgo
1466,51,Colombia,Estudiante,2,2023-11-07,2026-11-06,334,761,69.5,0,bajo_riesgo
526,26,Honduras,Negocios,0,2025-02-09,2026-02-09,64,301,82.47,1,medio_riesgo
1425,31,Chile,Turista,0,2023-08-28,2026-08-27,263,832,75.98,0,bajo_riesgo
1170,69,México,Turista,0,2021-06-09,2026-06-08,183,1642,89.97,0,bajo_riesgo
175,62,Bolivia,Residencia Temporal,0,2023-01-06,2026-01-05,29,1066,97.35,1,alto_riesgo
358,24,Cuba,Residencia Permanente,0,2025-06-28,2025-12-25,18,162,90.0,1,alto_riesgo
43,37,Brasil,Trabajo,3,2022-12-25,2025-12-24,17,1078,98.45,1,alto_riesgo
416,65,Colombia,Turista,0,2023-12-21,2025-12-20,13,717,98.22,1,alto_riesgo
344,34,México,Turista,2,2024-12-23,2025-12-23,16,349,95.62,1,alto_riesgo
1026,70,Venezuela,Residencia Temporal,2,2024-03-22,2026-03-22,105,625,85.62,0,bajo_riesgo
1401,26,Honduras,Residencia Permanente,0,2023-06-19,2026-06-18,193,902,82.37,0,bajo_riesgo
101,37,Venezuela,Residencia Temporal,2,2025-06-14,2025-12-11,4,176,97.78,1,alto_riesgo
107,23,Brasil,Turista,0,2025-01-03,2026-01-03,27,338,92.6,1,alto_riesgo
1489,56,Brasil,Residencia Permanente,0,2026-06-10,2026-12-07,365,-185,-102.78,0,bajo_riesgo
1052,52,México,Estudiante,3,2025-10-06,2026-04-04,118,62,34.44,0,bajo_riesgo
964,18,Chile,Turista,0,2025-10-10,2026-01-08,32,58,64.44,1,medio_riesgo
380,65,Venezuela,Estudiante,0,2024-12-22,2025-12-22,15,350,95.89,1,alto_riesgo
244,68,Nicaragua,Residencia Temporal,0,2023-01-02,2026-01-01,25,1070,97.72,1,alto_riesgo
1099,37,Argentina,Estudiante,2,2024-11-03,2026-11-03,331,399,54.66,0,bajo_riesgo
500,23,Venezuela,Estudiante,3,2024-01-21,2026-01-20,44,686,93.97,1,medio_riesgo
700,72,Venezuela,Turista,0,2021-01-14,2026-01-13,37,1788,97.97,1,medio_riesgo
128,40,Honduras,Trabajo,2,2020-12-21,2025-12-20,13,1812,99.29,1,alto_riesgo
239,73,Nicaragua,Estudiante,1,2025-10-05,2026-01-03,27,63,70.0,1,alto_riesgo
1114,70,Perú,Turista,0,2025-07-17,2026-07-17,222,143,39.18,0,bajo_riesgo
682,29,Brasil,Turista,2,2025-02-05,2026-02-05,60,305,83.56,1,medio_riesgo
482,50,Perú,Estudiante,2,2021-01-04,2026-01-03,27,1798,98.52,1,alto_riesgo
1305,57,Cuba,Turista,1,2024-08-08,2026-08-08,244,486,66.58,0,bajo_riesgo
275,38,Argentina,Residencia Temporal,0,2024-01-02,2026-01-01,25,705,96.58,1,alto_riesgo
582,32,Venezuela,Negocios,0,2025-02-08,2026-02-08,63,302,82.74,1,medio_riesgo
203,69,Ecuador,Turista,0,2025-09-27,2025-12-26,19,71,78.89,1,alto_riesgo
32,49,Perú,Estudiante,0,2025-09-10,2025-12-09,2,88,97.78,1,alto_riesgo
1319,69,Nicaragua,Trabajo,1,2026-08-13,2026-11-11,339,-249,-276.67,0,bajo_riesgo
813,23,Venezuela,Estudiante,0,2023-02-04,2026-02-03,58,1037,94.7,1,medio_riesgo
997,32,México,Trabajo,3,2024-01-09,2026-01-08,32,698,95.62,1,medio_riesgo
381,50,Venezuela,Trabajo,1,2022-12-23,2025-12-22,15,1080,98.63,1,alto_riesgo
1073,20,Bolivia,Estudiante,0,2023-08-17,2026-08-16,252,843,76.99,0,bajo_riesgo
1348,60,Brasil,Estudiante,0,2025-10-28,2026-04-26,140,40,22.22,0,bajo_riesgo
578,58,Venezuela,Residencia Temporal,0,2025-08-28,2026-02-24,79,101,56.11,1,medio_riesgo
887,26,México,Estudiante,0,2023-01-31,2026-01-30,54,1041,95.07,1,medio_riesgo
1325,71,Venezuela,Estudiante,2,2021-10-16,2026-10-15,312,1513,82.9,0,bajo_riesgo
1326,70,Perú,Turista,2,2026-02-23,2026-05-24,168,-78,-86.67,0,bajo_riesgo
941,42,Chile,Negocios,0,2025-11-28,2026-02-26,81,9,10.0,1,medio_riesgo
163,57,Argentina,Trabajo,3,2023-01-06,2026-01-05,29,1066,97.35,1,alto_riesgo
909,75,Chile,Estudiante,2,2025-07-16,2026-01-12,36,144,80.0,1,medio_riesgo
297,42,República Dominicana,Estudiante,1,2025-06-21,2025-12-18,11,169,93.89,1,alto_riesgo
755,47,México,Trabajo,0,2024-02-22,2026-02-21,76,654,89.59,1,medio_riesgo
405,50,Haití,Negocios,0,2023-12-30,2025-12-29,22,708,96.99,1,alto_riesgo
968,52,Venezuela,Negocios,0,2025-10-25,2026-01-23,47,43,47.78,1,medio_riesgo
605,38,Ecuador,Estudiante,0,2024-01-17,2026-01-16,40,690,94.52,1,medio_riesgo
420,66,Colombia,Trabajo,2,2025-09-30,2025-12-29,22,68,75.56,1,alto_riesgo
464,20,Chile,Turista,0,2023-12-23,2025-12-22,15,715,97.95,1,alto_riesgo
1187,20,Brasil,Turista,0,2026-06-16,2026-09-14,281,-191,-212.22,0,bajo_riesgo
939,62,Perú,Trabajo,1,2024-01-14,2026-01-13,37,693,94.93,1,medio_riesgo
192,66,Brasil,Negocios,0,2025-06-18,2025-12-15,8,172,95.56,1,alto_riesgo
674,49,Haití,Turista,1,2023-01-15,2026-01-14,38,1057,96.53,1,medio_riesgo
351,61,Perú,Turista,0,2020-12-21,2025-12-20,13,1812,99.29,1,alto_riesgo
858,51,Colombia,Trabajo,1,2025-11-07,2026-02-05,60,30,33.33,1,medio_riesgo
63,54,México,Residencia Temporal,0,2024-01-03,2026-01-02,26,704,96.44,1,alto_riesgo
1173,68,Brasil,Estudiante,3,2025-09-13,2026-09-13,280,85,23.29,0,bajo_riesgo
765,64,Perú,Trabajo,2,2025-07-20,2026-01-16,40,140,77.78,1,medio_riesgo
1440,18,Perú,Residencia Temporal,1,2026-01-11,2026-04-11,125,-35,-38.89,0,bajo_riesgo
261,43,Nicaragua,Negocios,2,2022-12-25,2025-12-24,17,1078,98.45,1,alto_riesgo
342,68,Honduras,Trabajo,1,2022-12-20,2025-12-19,12,1083,98.9,1,alto_riesgo
1220,72,Argentina,Estudiante,0,2024-08-14,2026-08-14,250,480,65.75,0,bajo_riesgo
471,56,Chile,Negocios,1,2025-09-19,2025-12-18,11,79,87.78,1,alto_riesgo
1334,50,Brasil,Estudiante,0,2023-08-09,2026-08-08,244,851,77.72,0,bajo_riesgo
198,24,Cuba,Estudiante,1,2022-12-18,2025-12-17,10,1085,99.09,1,alto_riesgo
1231,57,Chile,Trabajo,0,2024-05-12,2026-05-12,156,574,78.63,0,bajo_riesgo
917,43,México,Trabajo,1,2021-01-24,2026-01-23,47,1778,97.42,1,medio_riesgo
743,72,Ecuador,Trabajo,1,2021-02-10,2026-02-09,64,1761,96.49,1,medio_riesgo
570,33,México,Estudiante,2,2025-01-07,2026-01-07,31,334,91.51,1,medio_riesgo
218,74,Colombia,Negocios,0,2022-12-09,2025-12-08,1,1094,99.91,1,alto_riesgo
453,37,México,Estudiante,2,2025-09-27,2025-12-26,19,71,78.89,1,alto_riesgo
30,45,Ecuador,Turista,1,2024-12-20,2025-12-20,13,352,96.44,1,alto_riesgo
56,46,Honduras,Negocios,0,2025-09-16,2025-12-15,8,82,91.11,1,alto_riesgo
1210,49,Venezuela,Turista,0,2025-06-17,2026-06-17,192,173,47.4,0,bajo_riesgo
1385,27,Colombia,Turista,0,2023-09-09,2026-09-08,275,820,74.89,0,bajo_riesgo
1065,41,Venezuela,Turista,1,2023-09-26,2026-09-25,292,803,73.33,0,bajo_riesgo
430,26,México,Estudiante,1,2025-07-03,2025-12-30,23,157,87.22,1,alto_riesgo
724,20,Honduras,Trabajo,1,2021-02-19,2026-02-18,73,1752,96.0,1,medio_riesgo
1144,65,Bolivia,Turista,1,2025-04-22,2026-04-22,136,229,62.74,0,bajo_riesgo
1005,18,Colombia,Turista,2,2025-09-20,2026-03-19,102,78,43.33,0,bajo_riesgo
1050,67,República Dominicana,Estudiante,1,2026-01-05,2026-07-04,209,-29,-16.11,0,bajo_riesgo
1345,28,Argentina,Trabajo,0,2026-01-15,2026-07-14,219,-39,-21.67,0,bajo_riesgo
1236,73,República Dominicana,Trabajo,1,2021-11-30,2026-11-29,357,1468,80.44,0,bajo_riesgo
1235,54,Venezuela,Residencia Permanente,1,2021-06-30,2026-06-29,204,1621,88.82,0,bajo_riesgo
1448,66,Argentina,Turista,0,2021-10-28,2026-10-27,324,1501,82.25,0,bajo_riesgo
620,41,Cuba,Negocios,1,2023-01-19,2026-01-18,42,1053,96.16,1,medio_riesgo
1067,28,Brasil,Residencia Temporal,1,2021-10-17,2026-10-16,313,1512,82.85,0,bajo_riesgo
838,71,Colombia,Estudiante,2,2024-02-28,2026-02-27,82,648,88.77,1,medio_riesgo
99,57,República Dominicana,Negocios,2,2021-01-03,2026-01-02,26,1799,98.58,1,alto_riesgo
532,38,Ecuador,Trabajo,3,2024-02-08,2026-02-07,62,668,91.51,1,medio_riesgo
528,47,México,Estudiante,4,2021-02-06,2026-02-05,60,1765,96.71,1,medio_riesgo
1346,25,Colombia,Estudiante,0,2023-04-04,2026-04-03,117,978,89.32,0,bajo_riesgo
1172,40,Honduras,Trabajo,0,2024-08-11,2026-08-11,247,483,66.16,0,bajo_riesgo
1178,73,República Dominicana,Turista,1,2025-11-17,2026-05-16,160,20,11.11,0,bajo_riesgo
629,41,Colombia,Trabajo,1,2024-01-14,2026-01-13,37,693,94.93,1,medio_riesgo
1027,72,Cuba,Trabajo,1,2026-04-13,2026-07-12,217,-127,-141.11,0,bajo_riesgo
270,23,Nicaragua,Trabajo,1,2024-12-21,2025-12-21,14,351,96.16,1,alto_riesgo
1341,20,Colombia,Estudiante,0,2023-09-25,2026-09-24,291,804,73.42,0,bajo_riesgo
626,71,Colombia,Turista,0,2023-01-28,2026-01-27,51,1044,95.34,1,medio_riesgo
1042,23,Argentina,Estudiante,0,2024-05-16,2026-05-16,160,570,78.08,0,bajo_riesgo
976,37,Chile,Trabajo,2,2021-02-18,2026-02-17,72,1753,96.05,1,medio_riesgo
371,68,Brasil,Estudiante,1,2022-12-11,2025-12-10,3,1092,99.73,1,alto_riesgo
588,39,México,Turista,1,2025-11-13,2026-02-11,66,24,26.67,1,medio_riesgo
967,62,Brasil,Negocios,0,2023-02-16,2026-02-15,70,1025,93.61,1,medio_riesgo
1165,63,Venezuela,Turista,2,2025-06-12,2026-06-12,187,178,48.77,0,bajo_riesgo
1146,67,Venezuela,Estudiante,4,2021-06-29,2026-06-28,203,1622,88.88,0,bajo_riesgo
236,73,Colombia,Residencia Temporal,1,2025-09-12,2025-12-11,4,86,95.56,1,alto_riesgo
596,28,Perú,Trabajo,1,2024-02-06,2026-02-05,60,670,91.78,1,medio_riesgo
962,52,México,Turista,0,2024-02-24,2026-02-23,78,652,89.32,1,medio_riesgo
1445,36,Perú,Trabajo,1,2023-05-06,2026-05-05,149,946,86.39,0,bajo_riesgo
1163,49,México,Turista,2,2024-07-17,2026-07-17,222,508,69.59,0,bajo_riesgo
590,59,Nicaragua,Estudiante,2,2021-01-23,2026-01-22,46,1779,97.48,1,medio_riesgo
208,63,Perú,Estudiante,0,2020-12-14,2025-12-13,6,1819,99.67,1,alto_riesgo
1074,32,Bolivia,Negocios,0,2024-04-29,2026-04-29,143,587,80.41,0,bajo_riesgo
899,37,Colombia,Turista,1,2024-01-09,2026-01-08,32,698,95.62,1,medio_riesgo
353,19,Perú,Negocios,0,2024-12-25,2025-12-25,18,347,95.07,1,alto_riesgo
58,55,México,Turista,0,2020-12-11,2025-12-10,3,1822,99.84,1,alto_riesgo
303,50,Venezuela,Estudiante,4,2025-09-19,2025-12-18,11,79,87.78,1,alto_riesgo
1447,46,Venezuela,Residencia Temporal,2,2026-05-13,2026-11-09,337,-157,-87.22,0,bajo_riesgo
843,50,Honduras,Estudiante,3,2021-03-03,2026-03-02,85,1740,95.34,1,medio_riesgo
1261,31,Perú,Estudiante,1,2021-06-13,2026-06-12,187,1638,89.75,0,bajo_riesgo
1430,56,Cuba,Turista,0,2024-09-19,2026-09-19,286,444,60.82,0,bajo_riesgo
